Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,100,0,580.0,621.0333817900209,542.2031460002472,1456.1762419998558,231.0,0.2773068578684179,0.0,580,590,630,640,680,730,1400,1500,1500,1500,1500
GET,Application,786,0,290.0,357.6157202926556,266.6058639988478,4026.529077000305,22339.0,2.179631902845765,0.0,290,320,400,410,440,540,780,1200,4000,4000,4000
POST,Authentication,100,0,160.0,190.08808819999103,135.45338999938394,375.46169300003385,85.0,0.2773068578684179,0.0,160,160,180,280,340,350,370,380,380,380,380
GET,Company,786,0,140.0,162.1334675432354,134.73355899986927,3259.3426070015994,2393.412213740458,2.179631902845765,0.0,140,150,150,160,180,210,270,620,3300,3300,3300
GET,ExistsActionXml,702,0,440.0,477.47189519658536,410.6652469999972,3200.280068998836,2071.0,1.9466941422362938,0.0,440,450,460,470,520,610,980,1100,3200,3200,3200
GET,GetAllCompanys,707,0,150.0,174.05857455727673,140.7353630002035,1050.1444069996069,12744.195190947667,1.9605594851297148,0.0,150,160,160,170,200,270,430,750,1100,1100,1100
GET,GetAllEventsWithPrivileges,743,0,430.0,475.9838509770952,408.36723200118286,2092.929123000431,2071.0,2.0603899539623454,0.0,430,440,460,470,520,670,1000,1200,2100,2100,2100
POST,GetOfflineInfo,789,0,140.0,162.19020994295857,132.0922810009506,2876.719874999253,38.0,2.1879511085818173,0.0,140,140,150,150,180,220,300,690,2900,2900,2900
GET,GetlLoggedinEvent,712,0,430.0,482.21811714609385,410.11290200003714,3326.6761860013503,2071.0,1.9744248280231356,0.0,430,450,460,470,520,660,1000,1300,3300,3300,3300
GET,LoggedInUser,704,0,140.0,165.55010555258707,133.08161699933407,1905.2917509998224,182.0,1.9522402793936622,0.0,140,140,150,150,180,240,410,690,1900,1900,1900
PUT,UpdateCompany,1457,0,160.0,185.2990186122284,149.39350900021964,1742.5086999992345,2512.0,4.04036091914285,0.0,160,170,170,180,210,280,440,900,1500,1700,1700
GET,UserAdmin,5087,0,160.0,176.41287330156476,146.34785999987798,3006.470669000919,182.0,14.10659985976642,0.0,160,160,170,170,190,230,350,710,2000,3000,3000
GET,UserProfile,1384,0,160.0,175.33254030849034,146.85406399985368,1250.2689419998205,182.0,3.837926912898904,0.0,160,160,170,170,190,250,370,710,1200,1300,1300
POST,UserProfile,667,0,160.0,179.05574412446688,147.44832999895152,1546.5920890001144,182.0,1.8496367419823476,0.0,160,160,170,170,190,240,480,710,1500,1500,1500
GET,negotiate,744,0,140.0,148.99020578095636,130.26444099887158,1237.976387999879,398.0,2.0631630225410293,0.0,140,140,140,150,160,180,270,570,1200,1200,1200
GET,start,755,0,140.0,154.74051334965785,131.00187799864216,1271.0359459997562,25.0,2.0936667769065553,0.0,140,140,150,150,170,210,300,640,1300,1300,1300
,Aggregated,16223,0,160.0,224.77664527628022,130.26444099887158,4026.529077000305,2365.824200209579,44.98749155199344,0.0,160,170,200,280,430,470,630,790,2100,3800,4000
